Match ID,Group,Date,Time,Home,Away,λ Home,λ Away,ρ,Top Score,Probability,2nd Score,3rd Score
51,C,6/24/2026,23:00,Scotland,Brazil,0.817,2.253,-0.0795,0 - 2,11.78%,0 - 1,1 - 2
52,C,6/24/2026,23:00,Morocco,Haiti,2.599,0.717,-0.0848,2 - 0,12.26%,3 - 0,1 - 0
53,A,6/25/2026,2:00,Czech Republic,Mexico,1.024,1.52,-0.092,1 - 1,13.35%,0 - 1,1 - 2
54,A,6/25/2026,2:00,South Africa,South Korea,1.011,1.488,-0.1058,1 - 1,13.67%,0 - 1,0 - 0
55,E,6/25/2026,21:00,Curacao,Ivory Coast,0.658,2.199,-0.0,0 - 2,13.89%,0 - 1,0 - 3
56,E,6/25/2026,21:00,Ecuador,Germany,0.847,1.664,-0.0009,0 - 1,13.50%,1 - 1,0 - 2
57,F,6/26/2026,0:00,Tunisia,Netherlands,0.718,1.767,-0.0,0 - 1,14.73%,0 - 2,1 - 1
58,F,6/26/2026,0:00,Japan,Sweden,1.527,1.117,-0.106,1 - 1,13.41%,1 - 0,2 - 1
59,D,6/26/2026,3:00,Paraguay,Australia,1.473,1.145,-0.1199,1 - 1,13.78%,1 - 0,2 - 1
60,D,6/26/2026,3:00,Turkey,USA,1.339,1.398,-0.0994,1 - 1,13.33%,1 - 2,2 - 1
61,I,6/26/2026,20:00,Senegal,Iraq,2.041,0.758,-0.0845,2 - 0,12.68%,1 - 0,1 - 1
62,I,6/26/2026,20:00,Norway,France,1.027,1.701,-0.1051,1 - 1,12.62%,0 - 1,1 - 2
63,H,6/27/2026,1:00,Cape Verde,Saudi Arabia,1.388,1.339,-0.105,1 - 1,13.44%,2 - 1,1 - 2
64,H,6/27/2026,1:00,Uruguay,Spain,0.921,1.843,-0.0959,1 - 1,11.73%,0 - 2,0 - 1
65,G,6/27/2026,4:00,New Zealand,Belgium,0.727,2.508,-0.0788,0 - 2,12.38%,0 - 3,0 - 1
66,G,6/27/2026,4:00,Egypt,Iran,1.275,0.999,-0.1339,1 - 1,14.86%,0 - 0,1 - 0
67,L,6/27/2026,22:00,Panama,England,0.619,2.443,-0.0,0 - 2,13.97%,0 - 1,0 - 3
68,L,6/27/2026,22:00,Croatia,Ghana,1.664,0.87,-0.105,1 - 1,12.69%,1 - 0,2 - 0
69,K,6/28/2026,0:30,Colombia,Portugal,1.143,1.505,-0.0995,1 - 1,13.39%,0 - 1,1 - 2
70,K,6/28/2026,0:30,DR Congo,Uzbekistan,1.318,1.241,-0.1055,1 - 1,13.99%,0 - 0,1 - 0
71,J,6/28/2026,3:00,Jordan,Argentina,0.483,2.524,-0.0,0 - 2,15.75%,0 - 3,0 - 1
72,J,6/28/2026,3:00,Algeria,Austria,1.078,1.383,-0.1076,1 - 1,14.09%,0 - 1,0 - 0
